Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-11-01,10:05:16,52,49,50,50,50,52,52,52,52,50,51,481652,438288,509206,589601,522848,655839,567997,439284,553771,408638,399995
2024-11-01,10:05:19,53,49,49,49,49,51,51,52,52,50,50,754667,435979,525443,589792,458103,399829,400148,400,963197,792199,626402
2024-11-01,10:05:21,53,49,49,49,49,51,51,51,52,51,51,433152,588341,490868,589.35,497553,410041,399956,453401,400,532356,578434
2024-11-01,10:05:23,52,49,49,49,49,51,51,51,51,50,50,611623,1657932,699121,748035,553462,582899,480742,906483,1010584,616781,488482
2024-11-01,10:05:25,52,49,49,49,49,52,52,52,51,50,50,506556,433116,633488,807447,599426,469448,540745,443765,601911,730468,542424
2024-11-01,10:05:28,52,49,49,49,49,52,52,52,52,50,52,511789,745807,600611,589322,606093,649088,852654,803894,864587,1516578,971092
2024-11-01,10:05:30,52,49,49,49,50,51,52,52,51,50,50,488993,494719,477265,451021,631898,525175,614091,614711,454714,770331,419597
2024-11-01,10:05:32,52,49,49,49,49,51,50,50,50,50,49,567042,588024,452612,430759,1021127,1311861,760128,621944,1082164,701571,629489
2024-11-01,10:05:34,53,50,49,49,49,52,52,52,52,50,50,497474,438022,675794,801501,635111,605578,635371,568.47,543078,600051,659491
2024-11-01,10:05:37,53,48,48,49,49,51,51,50,50,50,50,509803,589787,529.64,675317,1348352,772916,764072,628253,618935,818719,581.51
2024-11-01,10:05:39,52,48,48,48,48,51,51,51,51,48,50,635347,776183,471628,482818,614217,604944,565.47,538137,553.58,583029,616224
2024-11-01,10:05:41,52,49,49,48,48,50,50,51,51,50,49,781321,986499,914851,717376,661084,599716,534674,495369,595203,567321,631.84
2024-11-01,10:05:44,52,49,49,49,49,51,50,50,50,50,50,557618,644744,569661,620004,645412,703111,442728,565129,654855,535512,645309
2024-11-01,10:05:46,53,48,48,49,49,50,50,50,50,48,50,635252,593955,952653,624501,488.73,672707,843.4,806007,606033,746875,571.08
2024-11-01,10:05:48,51,49,48,48,48,50,50,50,50,48,50,778103,869427,606421,898073,509565,632376,745425,579442,560725,516.7,687837
2024-11-01,10:05:50,52,48,48,48,48,50,50,50,50,50,50,1279627,942664,1016.72,571.04,901857,930986,873567,1097394,1324139,663321,830.62
